Region and country or area,1920,1910,1900,1890,1880,1870,1860
Region and country or area,1920,1910,1900,1890,1880,1870,1860
Europe,11916048,11810115,8881548,8030347,5751823,4941049,3807062
Northern and Western Europe,6241916,7306325,7204649,7288917,5499889,4845679,3773347
Northern Europe,3501149,3953947,3917815,4056160,3212431,2867926,2271661
British Isles,2172723,2573534,2783082,3122911,2772169,2626241,2199079
England,813853,877719,840513,908141,662676,550924,431692
Scotland,254570,261076,233524,242231,170136,140835,108518
Wales,67066,82488,93586,100079,83302,74533,45763
Ireland,1037234,1352251,1615459,1871509,1854571,1855827,1611304
Scandinavia,1328426,1380413,1134733,933249,440262,241685,72582
Norway,363863,403877,336388,322665,181729,114246,43995
Sweden,625585,665207,582014,478041,194337,97332,18625
Western Europe,69696969,3352378,3286834,3232757,2287458,1977753,1501686
Low countries,207038,172534,127719,107349,86461,65157,37353
Belgium,62687,49400,29757,22639,15535,12553,9072
Netherlands,131766,120063,94931,81828,58090,46802,28281
Austria,575627,626341,275907,123271,38663,30508,25061
France,153072,117418,104197,113174,106971,116402,109870
Germany,1686108,2311237,2663418,2784894,1966742,1690533,1276075
Southern and Eastern Europe,5670927,4500932,1674648,728851,248620,93824,32312
Southern Europe,1939600,1544149,539968,216387,66249,30416,21726
Greece,175976,101282,8515,1887,776,390,328
Italy,1610113,1343125,484027,182580,44230,17157,11677
Portugal (total),103976,77634,40376,25735,15650,8973,5477
Portugal (main),69981,59360,30608,15996,8138,4542,4116
Spain,49535,22108,7050,6185,5121,3764,4244
Eastern Europe,3731327,2956783,1134680,512464,182371,63408,10586
Poland,1139979,937884,383407,147440,48557,14436,7298
Asia,237950,191484,120248,113383,107630,64565,36796
China,43560,56756,81534,106688,104468,63042,35565
India,4901,4664,2031,2143,1707,586,0
Japan,81502,67744,24788,2292,401,73,0
Africa,16126,3992,2538,2207,2204,2657,526
Oceania,14626,11450,8820,9353,6859,4028,2140
Australia,10914,9035,6807,5984,4906,3118,1419
Latin America,588843,279514,137458,107307,90073,57871,38315
Caribbean,78962,47635,25435,23256,16401,11570,7353
Cuba,14872,15133,11081,0,6917,5319,0
Central America,491330,223651,107290,79045,69106,42736,27699
Mexico,486418,221915,103393,77853,68399,42435,27466
Other Central America,4912,1736,3897,1192,707,301,233
South America,18551,8228,4733,5006,4566,3565,3263
Northern America,1138174,1209717,1179922,980938,717286,493467,249970
Canada,1138174,1209717,1179922,980938,717157,493464,249970
